frame,timestamp,iso,shutter,fnum,ev,ct,color_md,focal_len,latitude,longitude,rel_alt,abs_alt
0,2022-10-07 17:52:13.500,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
1,2022-10-07 17:52:13.533,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
2,2022-10-07 17:52:13.566,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
3,2022-10-07 17:52:13.600,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
4,2022-10-07 17:52:13.633,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
5,2022-10-07 17:52:13.666,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
6,2022-10-07 17:52:13.701,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
7,2022-10-07 17:52:13.733,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
8,2022-10-07 17:52:13.767,270,1/100.0,2.8,0.0,6544,default,24.0,37.38892,126.66295,146.0,94.465
9,2022-10-07 17:52:13.801,270,1/100.0,2.8,0.0,6544,default,24.0,37.38892,126.66295,146.0,94.465
10,2022-10-07 17:52:13.833,270,1/100.0,2.8,0.0,6544,default,24.0,37.38892,126.66295,146.0,94.465
11,2022-10-07 17:52:13.866,270,1/100.0,2.8,0.0,6544,default,24.0,37.38892,126.66295,146.0,94.465
12,2022-10-07 17:52:13.901,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
13,2022-10-07 17:52:13.933,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
14,2022-10-07 17:52:13.967,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
15,2022-10-07 17:52:14.001,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
16,2022-10-07 17:52:14.033,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
17,2022-10-07 17:52:14.067,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
18,2022-10-07 17:52:14.101,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
19,2022-10-07 17:52:14.133,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
20,2022-10-07 17:52:14.167,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
21,2022-10-07 17:52:14.201,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
22,2022-10-07 17:52:14.233,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
23,2022-10-07 17:52:14.267,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
24,2022-10-07 17:52:14.301,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
25,2022-10-07 17:52:14.334,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
26,2022-10-07 17:52:14.367,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
27,2022-10-07 17:52:14.401,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
28,2022-10-07 17:52:14.433,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
29,2022-10-07 17:52:14.467,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
30,2022-10-07 17:52:14.501,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
31,2022-10-07 17:52:14.534,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
32,2022-10-07 17:52:14.567,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
33,2022-10-07 17:52:14.601,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
34,2022-10-07 17:52:14.634,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
35,2022-10-07 17:52:14.667,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
36,2022-10-07 17:52:14.701,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
37,2022-10-07 17:52:14.734,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
38,2022-10-07 17:52:14.767,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
39,2022-10-07 17:52:14.802,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
40,2022-10-07 17:52:14.834,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
41,2022-10-07 17:52:14.867,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
42,2022-10-07 17:52:14.901,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
43,2022-10-07 17:52:14.934,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
44,2022-10-07 17:52:14.968,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
45,2022-10-07 17:52:15.002,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
46,2022-10-07 17:52:15.034,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
47,2022-10-07 17:52:15.068,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
48,2022-10-07 17:52:15.101,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
49,2022-10-07 17:52:15.134,280,1/100.0,2.8,0.0,6542,default,24.0,37.38892,126.66295,146.0,94.465
50,2022-10-07 17:52:15.168,280,1/100.0,2.8,0.0,6542,default,24.0,37.38892,126.66295,146.0,94.465
51,2022-10-07 17:52:15.202,280,1/100.0,2.8,0.0,6542,default,24.0,37.38892,126.66295,146.0,94.465
52,2022-10-07 17:52:15.234,280,1/100.0,2.8,0.0,6542,default,24.0,37.38892,126.66295,146.0,94.465
53,2022-10-07 17:52:15.268,280,1/100.0,2.8,0.0,6542,default,24.0,37.38892,126.66295,146.0,94.465
54,2022-10-07 17:52:15.302,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
55,2022-10-07 17:52:15.334,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
56,2022-10-07 17:52:15.368,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
57,2022-10-07 17:52:15.403,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
58,2022-10-07 17:52:15.435,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
59,2022-10-07 17:52:15.468,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
60,2022-10-07 17:52:15.502,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
61,2022-10-07 17:52:15.535,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
62,2022-10-07 17:52:15.568,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
63,2022-10-07 17:52:15.602,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
64,2022-10-07 17:52:15.635,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
65,2022-10-07 17:52:15.668,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
66,2022-10-07 17:52:15.702,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
67,2022-10-07 17:52:15.735,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
68,2022-10-07 17:52:15.768,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
69,2022-10-07 17:52:15.802,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
70,2022-10-07 17:52:15.835,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
71,2022-10-07 17:52:15.868,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
72,2022-10-07 17:52:15.902,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
73,2022-10-07 17:52:15.935,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
74,2022-10-07 17:52:15.969,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
75,2022-10-07 17:52:16.002,280,1/100.0,2.8,0.0,6540,default,24.0,37.38892,126.66295,146.0,94.465
76,2022-10-07 17:52:16.035,280,1/100.0,2.8,0.0,6540,default,24.0,37.38892,126.66295,146.0,94.465
77,2022-10-07 17:52:16.068,280,1/100.0,2.8,0.0,6540,default,24.0,37.38892,126.66295,146.0,94.465
78,2022-10-07 17:52:16.102,280,1/100.0,2.8,0.0,6539,default,24.0,37.38892,126.66295,146.0,94.465
79,2022-10-07 17:52:16.135,280,1/100.0,2.8,0.0,6539,default,24.0,37.38892,126.66295,146.0,94.465
80,2022-10-07 17:52:16.169,280,1/100.0,2.8,0.0,6539,default,24.0,37.38892,126.66295,146.0,94.465
81,2022-10-07 17:52:16.202,280,1/100.0,2.8,0.0,6539,default,24.0,37.38892,126.66295,146.0,94.465
82,2022-10-07 17:52:16.236,280,1/100.0,2.8,0.0,6539,default,24.0,37.38892,126.66295,146.0,94.465
83,2022-10-07 17:52:16.269,280,1/100.0,2.8,0.0,6539,default,24.0,37.38892,126.66295,146.0,94.465
84,2022-10-07 17:52:16.303,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
85,2022-10-07 17:52:16.335,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
86,2022-10-07 17:52:16.369,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
87,2022-10-07 17:52:16.403,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
88,2022-10-07 17:52:16.436,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
89,2022-10-07 17:52:16.469,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
90,2022-10-07 17:52:16.503,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
91,2022-10-07 17:52:16.536,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
92,2022-10-07 17:52:16.569,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
93,2022-10-07 17:52:16.603,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
94,2022-10-07 17:52:16.636,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
95,2022-10-07 17:52:16.669,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
96,2022-10-07 17:52:16.703,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
97,2022-10-07 17:52:16.736,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
98,2022-10-07 17:52:16.769,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
99,2022-10-07 17:52:16.803,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
100,2022-10-07 17:52:16.836,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
101,2022-10-07 17:52:16.869,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
102,2022-10-07 17:52:16.903,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
103,2022-10-07 17:52:16.936,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
104,2022-10-07 17:52:16.969,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
105,2022-10-07 17:52:17.003,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
106,2022-10-07 17:52:17.036,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
107,2022-10-07 17:52:17.069,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
108,2022-10-07 17:52:17.103,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
109,2022-10-07 17:52:17.136,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
110,2022-10-07 17:52:17.170,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
111,2022-10-07 17:52:17.203,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
112,2022-10-07 17:52:17.236,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
113,2022-10-07 17:52:17.270,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
114,2022-10-07 17:52:17.303,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
115,2022-10-07 17:52:17.336,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
116,2022-10-07 17:52:17.370,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
117,2022-10-07 17:52:17.404,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
118,2022-10-07 17:52:17.437,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
119,2022-10-07 17:52:17.470,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
120,2022-10-07 17:52:17.503,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
121,2022-10-07 17:52:17.537,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
122,2022-10-07 17:52:17.570,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
123,2022-10-07 17:52:17.604,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
124,2022-10-07 17:52:17.637,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
125,2022-10-07 17:52:17.670,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
126,2022-10-07 17:52:17.704,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
127,2022-10-07 17:52:17.737,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
128,2022-10-07 17:52:17.770,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
129,2022-10-07 17:52:17.804,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
130,2022-10-07 17:52:17.837,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
131,2022-10-07 17:52:17.870,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
132,2022-10-07 17:52:17.904,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
133,2022-10-07 17:52:17.937,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
134,2022-10-07 17:52:17.971,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
135,2022-10-07 17:52:18.004,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
136,2022-10-07 17:52:18.037,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
137,2022-10-07 17:52:18.070,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
138,2022-10-07 17:52:18.104,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
139,2022-10-07 17:52:18.137,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
140,2022-10-07 17:52:18.171,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
141,2022-10-07 17:52:18.204,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
142,2022-10-07 17:52:18.238,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
143,2022-10-07 17:52:18.271,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
144,2022-10-07 17:52:18.304,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
145,2022-10-07 17:52:18.337,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
146,2022-10-07 17:52:18.371,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
147,2022-10-07 17:52:18.405,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
148,2022-10-07 17:52:18.438,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
149,2022-10-07 17:52:18.471,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
150,2022-10-07 17:52:18.504,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
